# File generated by CMD 3.4 (http://stev.oapd.inaf.it/cmd) on Fri Feb  5 08:20:20 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0254 0.25579 10.00000 1.0610091686 2.4848470688    1.059  0.474  3.6859  3.685    3  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1 -4.72e-13      0.00 6.845e-01 2.902e-01 4.476e-03 1.228e-03 1.113e-02 -1.000 2.533e-02 3.586 3.602 4.113 2.937
0.0254 0.25579 10.00000 1.0620398521 2.4850349426    1.060  0.516  3.6843  3.636    3  0.000  0.532     0.00     0.00     0.00     0.00     0.00 -1 -5.49e-13      0.00 6.817e-01 2.930e-01 4.457e-03 1.245e-03 1.116e-02 -1.000 2.535e-02 3.479 3.500 4.016 2.832
0.0254 0.25579 10.00000 1.0629878044 2.4852075577    1.061  0.559  3.6831  3.589    3  0.000  0.524     0.00     0.00     0.00     0.00     0.00 -1  -6.4e-13      0.00 6.787e-01 2.959e-01 4.393e-03 1.299e-03 1.118e-02 -1.000 2.547e-02 3.372 3.397 3.915 2.726
0.0254 0.25579 10.00000 1.0638910532 2.4853718281    1.062  0.604  3.6819  3.540    3  0.000  0.510     0.00     0.00     0.00     0.00     0.00 -1 -7.48e-13      0.00 6.759e-01 2.986e-01 4.288e-03 1.410e-03 1.120e-02 -1.000 2.550e-02 3.261 3.290 3.811 2.617
0.0254 0.25579 10.00000 1.0647262335 2.4855232239    1.063  0.648  3.6809  3.492    3  0.000  0.494     0.00     0.00     0.00     0.00     0.00 -1 -8.74e-13      0.00 6.732e-01 3.012e-01 4.156e-03 1.571e-03 1.122e-02 -1.000 2.557e-02 3.150 3.182 3.705 2.508
0.0254 0.25579 10.00000 1.0654476881 2.4856538773    1.064  0.689  3.6799  3.448    3  0.000  0.481     0.00     0.00     0.00     0.00     0.00 -1 -1.01e-12      0.00 6.710e-01 3.034e-01 4.052e-03 1.703e-03 1.123e-02 -1.000 2.559e-02 3.048 3.083 3.609 2.407
0.0254 0.25579 10.00000 1.0661759377 2.4857854843    1.064  0.733  3.6788  3.399    3  0.000  0.471     0.00     0.00     0.00     0.00     0.00 -1 -1.18e-12      0.00 6.689e-01 3.055e-01 3.966e-03 1.814e-03 1.124e-02 -1.000 2.560e-02 2.937 2.976 3.505 2.297
0.0254 0.25579 10.00000 1.0668106079 2.4859001637    1.065  0.775  3.6777  3.353    3  0.000  0.463     0.00     0.00     0.00     0.00     0.00 -1 -1.37e-12      0.00 6.672e-01 3.071e-01 3.907e-03 1.890e-03 1.124e-02 -1.000 2.567e-02 2.832 2.875 3.408 2.194
0.0254 0.25579 10.00000 1.0673985481 2.4860060215    1.065  0.817  3.6765  3.307    3  0.000  0.458     0.00     0.00     0.00     0.00     0.00 -1 -1.59e-12      0.00 6.658e-01 3.085e-01 3.861e-03 1.949e-03 1.125e-02 -1.000 2.567e-02 2.728 2.775 3.311 2.091
0.0254 0.25579 10.00000 1.0679818392 2.4861111641    1.066  0.862  3.6752  3.257    3  0.000  0.453     0.00     0.00     0.00     0.00     0.00 -1 -1.86e-12      0.00 6.647e-01 3.096e-01 3.825e-03 1.996e-03 1.125e-02 -1.000 2.571e-02 2.615 2.668 3.207 1.980
